finding_id,source,clip_id,provider,accent,tier,domain,kind,expected,heard,weight,ref_excerpt,hyp_excerpt,auto_flag,needs_listen,failure_code,severity,note
93,detector,1ab41137caf537cf2d196c3914d95b48,dg-medical,isizulu,B,clinical,DRUG-DEL,glargine,,3.3404,with pimozide for her psychosis and combined [[glargine]] insulin with short acting insulins at meal,treated with femozide for her psychosis and combined claritin insulin with short acting insulins at,DRUG-DEL candidate,,,,
94,detector,1ab41137caf537cf2d196c3914d95b48,dg-general,isizulu,B,clinical,DRUG-DEL,pimozide,,3.3404,she was being treated with [[pimozide]] for her psychosis and combined glargine insulin,she was being treated with femozide for her psychosis and combined klagen insulin,DRUG-DEL candidate,,,,
95,detector,44fce3c7ec19dff506083c8a906750a3,dg-medical,ijaw,A,clinical,DRUG-DEL,amnesteem,,3.3404,30 39% 3rd degree c capsule oral [[amnesteem]] isotretinoin 10 mg poisoning by cannabis undetermined,39% 3rd degree c capsule oral amnesty isotretinoin 10 milligram poisoning by cannabis open derivatives,DRUG-DEL candidate,,,,
96,detector,a8b08dfb2d86e274967be71c137de2c2,gemini,idoma,B,general,DRUG-DEL,piperaquine,,3.3404,hahjoing market in roodepoort sell halofantrine lumefantrine [[piperaquine]] and tafenoquine to treat malaria,in other part sell halofatrin lomafatrin pepacine and tafenocine to treat malaria,DRUG-DEL candidate,,,,
97,detector,7ac2b7f21b9550f6de49f8047e0c0e19,whisper,luo,C,clinical,DRUG-DEL,haloperidol,,3.3404,and must be treated with neuroleptic drugs [[haloperidol]] chlorpromazine,must be treated with neuroleptic drug shallow periodo chlorpromazine,DRUG-DEL candidate,,,,
98,detector,c43d8faa6efe9020bdd669a67ba1e988,gemini,efik,C,clinical,DRUG-DEL,rituximab,,3.3404,solution subcutaneous rituxan hycela [[rituximab]] hyaluronidase 1600 mg and 26800 units 13.4,solution subcutaneous wituzan icella wituzima hyaluronidase human recombinant 1600 mg and 26800 units,DRUG-DEL candidate,,,,
99,detector,ec18809717922ca38ceeb713515fbcff,whisper,sesotho,C,clinical,DRUG-DEL,meloxicam,,3.3404,[[meloxicam]] mobic recently introduced for the treatment of,meloxicamoebae coma recently introduced for the treatment of,DRUG-DEL candidate,,,,
100,detector,b89670db369c7e025fb0d74ca94533af,gemini,hausa,A,clinical,DRUG-DEL,cetirizine,,3.3404,syrup oral children is [[cetirizine]] hydrochloride allergy cetirizine hydrochloride 5 mg 5,sirop oral zyrtec d arizine hydrochlorure allergy zyrtec hydrochlorure 5 mg 5,DRUG-DEL candidate,,,,
101,detector,f1c88ce543440298faaed9f743d579de,gemini,hausa,A,clinical,DRUG-DEL,zosyn,,3.3404,continue vanc [[zosyn]],continue bank 205,DRUG-DEL candidate,,,,
102,detector,a52cc1bdf941a9b4d76061ddbda05072,gemini,igbo,A,clinical,DRUG-DEL,quetiapine,,3.3404,[[quetiapine]] fumarate 25 mg tablet sig one one,which has been twice in 5 mg tablets,DRUG-DEL candidate,,,,
103,detector,cf42ee5d7ae6579d20f480a8cf8dc00f,dg-medical,ibibio,B,clinical,DRUG-DEL,diltiazem,,3.3404,from scooter sequela capsule extended release oral [[diltiazem]] hydrochloride diltiazem hydrochloride 120 mg contracture left,from scrotal nonmotorized sequelae capsule extended release oral dilithiazem hydrochloride dilithiazem hydrochloride 120 milligram contracture,DRUG-DEL candidate,,,,
104,detector,868ed2786d8b2dedffe5b5358c2c529d,dg-general,agatu,C,clinical,DRUG-DEL,glargine,,3.3404,14 [[glargine]] sig 22 units at bedtime,14 nickelagine sig 22 22 unit at bedtime,DRUG-DEL candidate,,,,
105,detector,c43d8faa6efe9020bdd669a67ba1e988,dg-general,efik,C,clinical,DRUG-DEL,rituximab,,3.3404,solution subcutaneous rituxan hycela [[rituximab]] hyaluronidase 1600 mg and 26800 units 13.4,solution subcutaneous 1600 mg and 26800 units 13.4 ml,DRUG-DEL candidate,,,,
106,detector,a9a96ccbe9944292c08bc630aaee1d78,whisper,idoma,B,clinical,DRUG-DEL,propofol,,3.3404,received ativan 2 mg iv prior to [[propofol]] due to agitation 100 mcg fentanyl for,ativan 2 mg iv prior to popo 4 due to agitation 100 mcg fentanyl for,DRUG-DEL candidate,,,,
107,detector,b9fbfa440d2ba2a19ff2e1f37ee2edf4,whisper,yoruba,A,clinical,DRUG-DEL,estradiol,,3.3404,28 zovia one 35 e 28 ethinyl [[estradiol]] ethynodiol diacetate 0.035 mg one mg other,zovia one 35 e 2 28 ethinyl estrador estrinodrol dicetate 0.035 mg one mg other,DRUG-DEL candidate,,,,
108,detector,6afed7fe39a177c3d510b925d8267a94,gemini,swahili,A,general,DRUG-DEL,pyrimethamine,,3.3404,etander ayale other antimalarial drugs include [[pyrimethamine]] proguanil chlorproguanil and trimethoprim,estandar hallarle a la antimalaria drugs include proguanil chlorproguanil and trimethoprim,DRUG-DEL candidate,,,,
109,detector,9a375dac7ab12b6d59cffdb932f4d50b,gemini,hausa,A,clinical,DRUG-DEL,zosyn,,3.3404,started on vancomycin and [[zosyn]] for concern of infection but given the,started on vancomycin and zoysin for concern of infection but given the,DRUG-DEL candidate,,,,
110,detector,c43d8faa6efe9020bdd669a67ba1e988,dg-medical,efik,C,clinical,DRUG-DEL,hyaluronidase,,3.3404,solution subcutaneous rituxan hycela rituximab [[hyaluronidase]] 1600 mg and 26800 units 13.4 ml,subcutaneous rituxan hicellar rituxan high alluron needles human recombinant 1600 mg and 26800 units,DRUG-DEL candidate,,,,
111,detector,3c5572142e8029ffb07a9bbe17542aed,whisper,khana,C,clinical,DRUG-DEL,cyclosporine,,3.3404,nf [[cyclosporine]] 0.05 ou hospital ogbalay 7,nf ticlosporin 0.05% ou hospital abale 7,DRUG-DEL candidate,,,,
112,detector,cf42ee5d7ae6579d20f480a8cf8dc00f,dg-medical,ibibio,B,clinical,DRUG-DEL,diltiazem,,3.3404,from scooter sequela capsule extended release oral [[diltiazem]] hydrochloride diltiazem hydrochloride 120 mg contracture left,from scrotal nonmotorized sequelae capsule extended release oral dilithiazem hydrochloride dilithiazem hydrochloride 120 milligram contracture,DRUG-DEL candidate,,,,
113,detector,a8b08dfb2d86e274967be71c137de2c2,dg-medical,idoma,B,general,DRUG-DEL,lumefantrine,,3.3404,from hahjoing market in roodepoort sell halofantrine [[lumefantrine]] piperaquine and tafenoquine to treat malaria,market in rhodes port cell halofatrine lomotrin piperquin and tafinoquine to treat malaria,DRUG-DEL candidate,,,,
114,detector,ee52a0bb537315a9e13798dc8dfbd627,whisper,idoma,B,clinical,DRUG-DEL,erythromycin,,3.3404,[[erythromycin]] administered as ordered to eyes for hx,through my sin administered as ordered to eyes,DRUG-DEL candidate,,,,
115,detector,5b5cea61187384389906b36683ffa428,dg-medical,zulu,B,clinical,DRUG-DEL,morphine,,3.3404,with codeineare similar to those reported for [[morphine]] althoughthey are less intense,interaction with convenience similar to those reported for monocail although early symptoms,DRUG-DEL candidate,,,,
116,detector,a8b08dfb2d86e274967be71c137de2c2,dg-general,idoma,B,general,DRUG-DEL,lumefantrine,,3.3404,from hahjoing market in roodepoort sell halofantrine [[lumefantrine]] piperaquine and tafenoquine to treat malaria,enjoyed market in rutherford cell halofatrine lumafatrine piperquin and tafenoquine to treat malaria,DRUG-DEL candidate,,,,
117,detector,2a2db36f700c4b370d82f111f4e23096,dg-general,etsako,C,clinical,DRUG-DEL,multivitamin,,3.3404,may 2029 added folate thiamine and a [[multivitamin]],16 may 2029 added folate thiamine and emotivitamin,DRUG-DEL candidate,,,,
118,detector,5b5cea61187384389906b36683ffa428,gemini,zulu,B,clinical,DRUG-SUB,morphine,chloroquine,1.0,with codeineare similar to those reported for [[morphine]] althoughthey are less intense,with quinine similar to those reported for monotherapy chloroquine and all artesunate,DRUG-SUB candidate,,,,
119,detector,950669fd990036359a84fc27a609d98b,aai,hausa,A,clinical,DRUG-SUB,ropinirole,propranolol,1.0,subsequent tablet extended release oral requip xl [[ropinirole]] hydrochloride eq 12 mg base exposure to,subsequent tablet extended release orally requiped xl propranolol hydrochloride eq 12 mg base exposure to,DRUG-SUB candidate,,,,
120,detector,a52cc1bdf941a9b4d76061ddbda05072,dg-medical,igbo,A,clinical,DRUG-SUB,quetiapine,humira,1.0,[[quetiapine]] fumarate 25 mg tablet sig one one,glatropin humira 25 milligram tablet civitrol one tablet,DRUG-SUB candidate,,,,
121,detector,cf42ee5d7ae6579d20f480a8cf8dc00f,gemini,ibibio,B,clinical,DRUG-SUB,diltiazem,hydrocloride,1.0,from scooter sequela capsule extended release oral [[diltiazem]] hydrochloride diltiazem hydrochloride 120 mg contracture left,escutar nao motorizada cicula causa extended release loratadiazem hydrocloride loratadiazem hydrocloride 120 mg contracture left,DRUG-SUB candidate,,,,
122,detector,cf42ee5d7ae6579d20f480a8cf8dc00f,gemini,ibibio,B,clinical,DRUG-SUB,diltiazem,hydrocloride,1.0,from scooter sequela capsule extended release oral [[diltiazem]] hydrochloride diltiazem hydrochloride 120 mg contracture left,escutar nao motorizada cicula causa extended release loratadiazem hydrocloride loratadiazem hydrocloride 120 mg contracture left,DRUG-SUB candidate,,,,
123,detector,cf605b3aaadbd365452e997fbc78122d,aai,efik,C,clinical,DRUG-SUB,vyvanse,methamphetamine,1.0,tablet chewable oral [[vyvanse]] lisdexamfetamine dimesylate 10 mg,tablet chewable oral vivance methamphetamine dimesylate 10 mg,DRUG-SUB candidate,,,,
124,detector,cf605b3aaadbd365452e997fbc78122d,aai,efik,C,clinical,DRUG-SUB,lisdexamfetamine,methamphetamine,1.0,tablet chewable oral vyvanse [[lisdexamfetamine]] dimesylate 10 mg,tablet chewable oral vivance methamphetamine dimesylate 10 mg,DRUG-SUB candidate,,,,
125,detector,cf605b3aaadbd365452e997fbc78122d,dg-general,efik,C,clinical,DRUG-SUB,vyvanse,methamphetamine,1.0,tablet chewable oral [[vyvanse]] lisdexamfetamine dimesylate 10 mg,tablets chewable oral valvans methamphetamine dimethylate 10 mg,DRUG-SUB candidate,,,,
126,detector,cf605b3aaadbd365452e997fbc78122d,dg-general,efik,C,clinical,DRUG-SUB,lisdexamfetamine,methamphetamine,1.0,tablet chewable oral vyvanse [[lisdexamfetamine]] dimesylate 10 mg,tablets chewable oral valvans methamphetamine dimethylate 10 mg,DRUG-SUB candidate,,,,
127,detector,cf605b3aaadbd365452e997fbc78122d,whisper,efik,C,clinical,DRUG-SUB,vyvanse,vitamins,1.0,tablet chewable oral [[vyvanse]] lisdexamfetamine dimesylate 10 mg,tablets chewable oral vitamins desamphetamine dimethylate 10 mg,DRUG-SUB candidate,,,,
128,detector,cf605b3aaadbd365452e997fbc78122d,whisper,efik,C,clinical,DRUG-SUB,lisdexamfetamine,vitamins,1.0,tablet chewable oral vyvanse [[lisdexamfetamine]] dimesylate 10 mg,tablets chewable oral vitamins desamphetamine dimethylate 10 mg,DRUG-SUB candidate,,,,
129,detector,f1c88ce543440298faaed9f743d579de,dg-medical,hausa,A,clinical,DRUG-SUB,zosyn,vancomycin,1.0,continue vanc [[zosyn]],continue vancomycin,DRUG-SUB candidate,,,,
130,detector,7ecb769ffb1875b51a824aec75d2f79c,gemini,kinyarwanda,B,general,NEG-FLIP,not,,1.3333,im [[not]] the 1st person to think he should,i am one of the 1st person to think,NEG-FLIP candidate,,,,
131,detector,f90956b98a371a04fb2d01be89fe11cf,dg-medical,yoruba,A,clinical,NEG-FLIP,not,,1.3333,co [[not]] to suction thick tan secretions,continue to suction thick tan secretions,NEG-FLIP candidate,,,,
132,detector,7ecb769ffb1875b51a824aec75d2f79c,dg-general,kinyarwanda,B,general,NEG-FLIP,not,,1.3333,im [[not]] the 1st person to think he should,i am one of the 1st person to think,NEG-FLIP candidate,,,,
133,detector,c2093acb790a4bbcaf0367cecfa15793,whisper,igbo,A,clinical,NEG-FLIP,denies,,1.3333,[[denies]] chest pain dizziness or lightheadedness no palpitations,deny chest pain dizziness or light sidedness no,NEG-FLIP candidate,,,,
134,detector,1e1f4d7a25294e5853a6c798329b69b9,aai,swahili,A,general,NEG-FLIP,never,,1.3333,she [[never]] lets me pick out her stuff so,she lets me pick out her stuff so she,NEG-FLIP candidate,,,,
135,detector,96c0239bebf9812f391113c433a60ac3,whisper,swahili,A,clinical,NEG-FLIP,no,,1.3333,uo 3 cc kg hr this shift [[no]] stool,cc per kg per hour this shift nose tool,NEG-FLIP candidate,,,,
136,detector,beddeac62f5277f00a937c79f65eaa98,gemini,igbo,A,clinical,NEG-FLIP,not,,1.3333,[[not]] candidate for bedside picc,nurse candidate for bedside picc,NEG-FLIP candidate,,,,
137,detector,f42411fa2e88c397f558c7be352de659,aai,setswana,B,clinical,NEG-FLIP,not,,1.3333,if we do [[not]] find the gas leak quickly it becomes,if we dont find the gas leak quickly it becomes difficult,NEG-FLIP candidate,,,,
138,detector,96c0239bebf9812f391113c433a60ac3,gemini,swahili,A,clinical,NEG-FLIP,no,,1.3333,uo 3 cc kg hr this shift [[no]] stool,uo 3 cc package para sa shift nos stool,NEG-FLIP candidate,,,,
139,detector,a46605b3fdc92295cbd88bb861487e58,dg-general,ijaw,A,general,NEG-FLIP,no,,1.3333,safiyah made aware of rising calcium with [[no]] new orders received at 23 may 1985,saphaya made away the rising calcium with 2 new orders received at 23rd may 1985,NEG-FLIP candidate,,,,
140,detector,a46605b3fdc92295cbd88bb861487e58,whisper,ijaw,A,general,NEG-FLIP,no,,1.3333,safiyah made aware of rising calcium with [[no]] new orders received at 23 may 1985,made aware the rising calcium we do not know others receive at 22 may 1985,NEG-FLIP candidate,,,,
141,detector,1e1f4d7a25294e5853a6c798329b69b9,dg-general,swahili,A,general,NEG-FLIP,never,,1.3333,she [[never]] lets me pick out her stuff so,let me pick out her stuff so she would,NEG-FLIP candidate,,,,
142,detector,1e1f4d7a25294e5853a6c798329b69b9,whisper,swahili,A,general,NEG-FLIP,never,,1.3333,she [[never]] lets me pick out her stuff so,let me pick out her stuff so she would,NEG-FLIP candidate,,,,
143,detector,36c14ff38c73d6ebc90db41430b058d1,whisper,igbo,A,clinical,NEG-FLIP,no,,1.3333,soft non tender appetite fair but improving [[no]] stool,soft non tender appetite fair but improving nose too,NEG-FLIP candidate,,,,
144,detector,1e1f4d7a25294e5853a6c798329b69b9,dg-medical,swahili,A,general,NEG-FLIP,never,,1.3333,she [[never]] lets me pick out her stuff so,let me pick out her stuff so she would,NEG-FLIP candidate,,,,
145,detector,beddeac62f5277f00a937c79f65eaa98,dg-general,igbo,A,clinical,NEG-FLIP,not,,1.3333,[[not]] candidate for bedside picc,north candidate for bedside picc,NEG-FLIP candidate,,,,
146,detector,f90956b98a371a04fb2d01be89fe11cf,aai,yoruba,A,clinical,NEG-FLIP,not,,1.3333,co [[not]] to suction thick tan secretions,continue to suction thick tan secretions,NEG-FLIP candidate,,,,
147,detector,1e1f4d7a25294e5853a6c798329b69b9,gemini,swahili,A,general,NEG-FLIP,never,,1.3333,she [[never]] lets me pick out her stuff so,let us me pick out our staff so you,NEG-FLIP candidate,,,,
148,detector,f90956b98a371a04fb2d01be89fe11cf,gemini,yoruba,A,clinical,NEG-FLIP,not,,1.3333,co [[not]] to suction thick tan secretions,continue to sanction thick tan secretions,NEG-FLIP candidate,,,,
149,detector,f90956b98a371a04fb2d01be89fe11cf,dg-general,yoruba,A,clinical,NEG-FLIP,not,,1.3333,co [[not]] to suction thick tan secretions,continue to suction thick tan secretions,NEG-FLIP candidate,,,,
150,detector,c18453be6b19c1812bdbeb7e32666683,gemini,hausa,A,clinical,NEG-FLIP,no,,1.3333,ct 2 8 2029 impression [[no]] femoral fracture or dislocation diffuse subcutaneous edema,is this examination good even computed tomography 2nd of august 2029 impression no femoral,NEG-FLIP candidate,,,,
